Size Id Time Ancestor
2 0   0.0 0
1 4  50.0 0
1 2  50.0 0
1 3  50.0 0
1 1  50.0 0
928 0  50.0 0
1 5  50.0 0
1 6  50.0 0
1 7  50.0 0
1 5 100.0 0
1 5 100.0 0
1 6 100.0 0
1 7 100.0 0
1 8 100.0 0
1 9 100.0 0
1 10 100.0 0
1 11 100.0 0
1 12 100.0 0
974 0 100.0 0
1 13 100.0 0
1 13 150.0 0
1 15 150.0 0
1 16 150.0 0
1 14 150.0 0
1 17 150.0 0
1 19 150.0 0
1 21 150.0 0
1 20 150.0 0
1 18 150.0 0
944 0 150.0 0
1 22 200.0 0
1 23 200.0 0
1 26 200.0 0
1 27 200.0 0
1 24 200.0 0
1 28 200.0 0
1 29 200.0 0
1 31 200.0 0
1 32 200.0 0
1 33 200.0 0
1 25 200.0 0
1 34 200.0 0
1 35 200.0 0
1 36 200.0 0
1 30 200.0 0
1 37 200.0 0
1 38 200.0 0
1 39 200.0 0
1011 0 200.0 0
3 40 200.0 0
1 40 250.0 0
1 43 250.0 0
1 45 250.0 0
1 44 250.0 0
1 42 250.0 0
1 41 250.0 0
1 46 250.0 0
1 47 250.0 0
1 48 250.0 0
1 49 250.0 0
1 50 250.0 0
1 52 250.0 0
1 54 250.0 0
1 53 250.0 0
1061 0 250.0 0
2 51 250.0 0
2 55 250.0 0
1 51 300.0 0
1 57 300.0 0
1 58 300.0 0
1 60 300.0 0
1 56 300.0 0
1 59 300.0 0
1 61 300.0 0
1 62 300.0 0
1 63 300.0 0
1 64 300.0 0
1 55 300.0 0
1 65 300.0 0
993 0 300.0 0
1 66 350.0 0
1 67 350.0 0
1 66 350.0 0
1 68 350.0 0
1 69 350.0 0
1 71 350.0 0
1 72 350.0 0
1 74 350.0 0
1 73 350.0 0
1031 0 350.0 0
3 70 350.0 0
1 70 400.0 0
1 76 400.0 0
1 75 400.0 0
1 77 400.0 0
1 78 400.0 0
1 79 400.0 0
1 81 400.0 0
967 0 400.0 0
1 80 400.0 0
1 82 400.0 0
1 80 450.0 0
1 82 450.0 0
1 83 450.0 0
1 84 450.0 0
1 85 450.0 0
1 86 450.0 0
1 87 450.0 0
1 88 450.0 0
1 89 450.0 0
1 90 450.0 0
1 91 450.0 0
1 92 450.0 0
1 93 450.0 0
1 94 450.0 0
984 0 450.0 0
1 96 500.0 0
1 95 500.0 0
1 97 500.0 0
1 98 500.0 0
1 100 500.0 0
1 99 500.0 0
1 101 500.0 0
1 103 500.0 0
1 102 500.0 0
1007 0 500.0 0
1 105 550.0 0
1 104 550.0 0
1 107 550.0 0
1 108 550.0 0
1 109 550.0 0
1 110 550.0 0
1 111 550.0 0
1 112 550.0 0
1 113 550.0 0
1 114 550.0 106
1 115 550.0 0
1 117 550.0 0
1 118 550.0 106
956 0 550.0 0
43 106 550.0 0
4 116 550.0 0
1 120 600.0 0
1 106 600.0 0
1 121 600.0 0
1 122 600.0 0
1 119 600.0 0
1 124 600.0 0
1 125 600.0 0
1 126 600.0 0
1 123 600.0 0
1 116 600.0 0
1 129 600.0 0
1001 0 600.0 0
1 127 600.0 0
36 128 600.0 0
1 130 600.0 0
1 127 650.0 0
1 130 650.0 0
1 131 650.0 0
1 132 650.0 0
1 133 650.0 0
1 134 650.0 0
1 128 650.0 0
1 135 650.0 0
1 137 650.0 0
877 0 650.0 0
2 136 650.0 0
5 138 650.0 0
1 138 700.0 0
1 139 700.0 0
1 136 700.0 0
1 140 700.0 0
1 144 700.0 0
1 142 700.0 0
1000 0 700.0 0
21 141 700.0 0
5 143 700.0 0
1 145 700.0 0
1 146 700.0 0
1 147 700.0 0
1 147 750.0 0
1 143 750.0 0
1 145 750.0 0
1 146 750.0 0
1 141 750.0 0
1 148 750.0 0
1 149 750.0 0
1 151 750.0 0
1 150 750.0 0
1 153 750.0 0
1 154 750.0 0
1 155 750.0 0
1 156 750.0 0
1 157 750.0 0
1 159 750.0 0
930 0 750.0 0
13 152 750.0 0
2 158 750.0 0
1 160 800.0 0
1 161 800.0 0
1 162 800.0 0
1 158 800.0 0
1 163 800.0 0
1 164 800.0 0
1 165 800.0 0
1 166 800.0 0
1 167 800.0 0
1 169 800.0 0
1 171 800.0 0
1 170 800.0 0
1 168 800.0 0
851 0 800.0 0
64 152 800.0 0
1 172 850.0 0
1 173 850.0 0
1 174 850.0 0
1 175 850.0 0
1 176 850.0 0
1 152 850.0 0
1 178 850.0 0
986 0 850.0 0
5 177 850.0 0
1 177 900.0 0
1 180 900.0 0
1 181 900.0 0
1 182 900.0 0
1 183 900.0 0
1 184 900.0 0
1 185 900.0 0
1 179 900.0 0
1 186 900.0 0
999 0 900.0 0
1 187 950.0 0
1 188 950.0 0
1 190 950.0 0
1 191 950.0 0
1 192 950.0 0
1 193 950.0 0
1 193 950.0 0
1 195 950.0 0
1 189 950.0 0
1 196 950.0 0
981 0 950.0 0
11 194 950.0 0
1 197 950.0 0
5 198 950.0 0
1 197 999.0 0
1 194 999.0 0
1 198 999.0 0
1 200 999.0 0
1 203 999.0 0
1 201 999.0 0
1 204 999.0 0
1 206 999.0 0
1 207 999.0 0
1 205 999.0 0
1 208 999.0 0
1 202 999.0 0
1 209 999.0 0
1 211 999.0 0
1 212 999.0 0
1 213 999.0 0
1 214 999.0 0
1 215 999.0 0
1 199 999.0 0
1 217 999.0 0
1 216 999.0 0
1 218 999.0 0
997 0 999.0 0
17 210 999.0 0
1 219 999.0 0
1 220 999.0 0
